n,UVA,UVB,UV_index,Etiqueta
1,-73.41,-136.84,0.0,—
2,-71.41,-134.84,0.0,—
3,-71.19,-134.89,0.0,—
4,-69.74,-133.58,0.0,—
5,-69.18,-131.48,0.0,—
6,-70.06,-134.91,0.0,—
7,-70.51,-135.22,0.0,—
8,-100.77,-156.5,0.0,—
9,-55.67,-128.86,0.0,—
10,-90.5,-134.73,0.0,—
11,-61.09,-131.31,0.0,—
12,-48.79,-120.97,0.0,—
13,726.0,521.88,1.21,—
14,831.47,635.41,1.43,—
15,851.45,640.05,1.45,—
16,744.07,556.83,1.26,playa
17,825.91,613.86,1.4,playa
18,1434.07,47.55,1.11,playa
19,1714.4,184.07,1.49,playa
20,1521.5,-35.42,1.07,playa
21,2918.96,1525.21,4.11,playa
22,985.66,727.69,1.66,playa
23,1038.04,744.14,1.72,playa
24,2754.11,1365.2,3.78,playa
25,1923.67,633.31,2.23,playa
26,1638.69,405.37,1.72,playa
27,1620.38,403.45,1.71,playa
28,524.31,-95.77,0.26,playa
29,840.69,625.42,1.42,playa
30,765.35,257.94,1.71,playa
31,621.35,362.24,0.92,playa
32,3471.29,2299.11,5.51,playa
33,3886.93,2620.13,6.23,playa
34,3951.3,2694.79,6.38,playa
35,1664.42,509.76,1.88,playa
36,1347.39,428.5,1.54,playa
37,1208.53,138.02,1.06,playa
38,1374.96,218.23,1.29,apunta al sol
39,3224.38,1870.25,4.78,playa mirando al sol
40,3655.01,2279.14,5.62,playa mirando al sol
41,3687.19,2289.97,5.66,playa mirando al sol
42,3783.09,2445.61,5.93,playa mirando al sol
43,3931.43,2717.23,6.39,playa mirando al sol
44,4360.32,3121.43,7.23,playa mirando al sol
45,4209.63,3096.7,7.09,playa mirando al sol
46,3636.64,2241.5,5.56,playa mirando al sol
47,3314.83,1865.7,4.84,playa mirando al sol
48,1793.45,492.0,1.95,playa mirando al sol
49,3133.4,1853.08,4.69,playa mirando al sol
50,939.32,672.09,1.56,playa mirando al sol
51,3584.86,2229.27,5.51,playa mirando al sol
52,3931.71,2851.47,6.57,playa mirando al sol
53,3805.02,2812.77,6.42,playa mirando al sol
54,2465.63,1835.48,4.18,playa mirando al sol
55,-103.04,-141.87,0.0,playa mirando al sol
56,-99.82,-144.18,0.0,playa mirando al sol
57,-121.21,-165.66,0.0,playa mirando al sol
58,-127.18,-176.06,0.0,toldo
59,-127.73,-173.75,0.0,toldo
60,-73.1,-131.98,0.0,toldo
61,-93.56,-145.33,0.0,toldo
62,-115.61,-151.64,0.0,toldo
63,494.97,352.44,0.82,toldo
64,264.46,183.17,0.43,toldo
65,14.05,17.42,0.03,toldo
66,20.51,22.14,0.04,toldo
67,20.51,22.14,0.04,toldo
68,19.29,20.19,0.04,sombra concreto
69,24.43,19.58,0.04,sombra concreto
70,31.56,19.56,0.05,sombra concreto
71,32.34,20.61,0.05,sombra concreto
72,31.56,21.56,0.05,sombra concreto
73,33.46,21.18,0.05,sombra concreto
74,496.2,340.56,0.8,sombra concreto
75,631.78,409.06,0.99,sombra concreto
76,8.12,13.25,0.02,sombra concreto
77,7.9,15.25,0.03,sombra concreto
78,7.56,15.1,0.03,pasillo
79,8.46,15.35,0.03,pasillo
80,8.68,17.3,0.03,pasillo
81,6.46,13.35,0.02,pasillo
82,6.46,14.35,0.02,pasillo
83,7.46,14.35,0.02,pasillo
84,7.46,15.35,0.03,pasillo
85,8.68,17.3,0.02,pasillo
86,8.68,17.3,0.03,pasillo
87,10.24,18.4,0.03,pasillo
88,9.24,16.4,0.03,pasillo
89,9.8,17.5,0.03,pasillo
90,10.8,18.5,0.03,pasillo
91,11.02,18.45,0.03,pasillo
92,10.8,19.5,0.03,pasillo
93,10.58,18.55,0.03,pasillo
94,7.46,15.35,0.03,pasillo
95,5.56,11.1,0.02,pasillo
96,0.0,0.0,0.0,pasillo
97,4.0,9.0,0.01,pasillo
98,5.78,12.05,0.02,pasillo
99,2.0,7.0,0.01,pasillo
100,4.0,9.0,0.01,pasillo
101,0.0,0.0,0.0,pasillo
102,2.0,6.0,0.01,pasillo
103,0.0,0.0,0.0,pasillo
104,0.0,0.0,0.0,pasillo
105,2.0,7.0,0.01,pasillo
106,5.12,11.2,0.02,pasillo
107,2.0,7.0,0.01,pasillo
108,0.0,0.0,0.0,pasillo
109,1.0,5.0,0.01,pasillo
110,0.0,4.0,0.01,pasillo
111,3.0,8.0,0.01,pasillo
112,1.0,6.0,0.01,pasillo
113,3.0,8.0,0.01,pasillo
114,2.0,7.0,0.01,vestuario
115,1.0,5.0,0.01,vestuario
116,0.0,0.0,0.0,vestuario
117,0.0,0.0,0.0,vestuario
118,0.0,0.0,0.0,vestuario
119,2.0,7.0,0.01,vestuario
120,3.0,8.0,0.01,vestuario
121,2.0,7.0,0.01,vestuario
122,2.0,7.0,0.01,vestuario
123,2.0,7.0,0.01,vestuario
124,2.0,7.0,0.01,vestuario
125,2.0,7.0,0.01,vestuario
126,3.0,8.0,0.01,vestuario
127,3.0,7.0,0.01,vestuario
128,1.0,5.0,0.01,vestuario
